Rk,Name,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,CmpPct,Yds,TD,Int,IntPct,Rate,Sk,Y/A,SkYds,AY/A,ANY/A,Y/G,W,L,T
1,Derek Anderson,2006,2014,6-213,TOT,NFL,65,45,825,1537,53.68,9907,58,55,3.58,71.3,76,6.45,530,5.59,5.00,152.4,20,25,0
2,Blake Bortles,2014,2015,1-3,JAX,NFL,22,21,455,786,57.89,5101,28,27,3.44,74.9,80,6.49,477,5.66,4.58,231.9,5,16,0
3,Sam Bradford,2010,2015,1-1,TOT,NFL,57,57,1227,2070,59.28,13126,69,48,2.32,79.3,134,6.34,925,5.96,5.18,230.3,22,34,1
4,Tom Brady,2000,2015,6-199,NWE,NFL,217,215,4776,7496,63.71,55967,414,145,1.93,96.6,382,7.47,2389,7.70,7.02,257.9,168,47,0
5,Drew Brees,2001,2015,2-32,TOT,NFL,210,209,5175,7800,66.35,58796,414,201,2.58,95.7,321,7.54,2286,7.44,6.86,280.0,121,88,0
6,Teddy Bridgewater,2014,2015,1-32,MIN,NFL,21,20,408,634,64.35,4589,20,18,2.84,84.6,59,7.24,412,6.59,5.44,218.5,12,8,0
7,Jason Campbell,2006,2014,1-25,TOT,NFL,90,79,1519,2518,60.33,16771,87,60,2.38,81.7,170,6.66,1096,6.28,5.47,186.3,32,47,0
8,Derek Carr,2014,2015,2-36,RAI,NFL,24,24,522,872,59.86,5364,40,16,1.83,85.2,32,6.15,205,6.24,5.80,223.5,7,17,0
9,Matt Cassel,2005,2015,7-230,TOT,NFL,94,75,1452,2459,59.05,16350,100,74,3.01,80.0,188,6.65,1033,6.11,5.28,173.9,34,41,0
10,Jimmy Clausen,2010,2015,2-48,TOT,NFL,19,12,206,387,53.23,1965,5,11,2.84,60.1,40,5.08,273,4.06,3.04,103.4,1,11,0
11,Kellen Clemens,2006,2015,2-49,TOT,NFL,43,21,344,629,54.69,4017,16,20,3.18,69.5,66,6.39,401,5.46,4.37,93.4,8,13,0
12,Kirk Cousins,2012,2015,4-102,WAS,NFL,22,17,446,715,62.38,4984,28,28,3.92,79.8,25,6.97,181,5.99,5.54,226.5,5,12,0
13,Jay Cutler,2006,2015,1-11,TOT,NFL,126,126,2545,4118,61.80,29536,193,135,3.28,85.4,266,7.17,1669,6.63,5.85,234.4,64,62,0
