Rk,Name,From,To,Draft,Tm,Lg,G,GS,Cmp,Att,CmpPct,Yds,TD,Int,IntPct,Rate,Sk,Y/A,SkYds,AY/A,ANY/A,Y/G,W,L,T
1,Troy Aikman*,1989,2000,1-1,DAL,NFL,165,165,2898,4715,61.46,32942,165,141,2.99,81.6,259,6.99,1748,6.34,5.66,199.6,94,71,0
2,Ken Anderson,1971,1986,3-67,CIN,NFL,192,172,2654,4475,59.31,32838,197,160,3.58,81.9,398,7.34,2875,6.61,5.48,171.0,91,81,0
3,Bob Avellini,1975,1984,6-135,CHI,NFL,73,50,560,1110,50.45,7111,33,69,6.22,54.8,110,6.41,961,4.20,3.04,97.4,23,27,0
4,Tony Banks,1996,2005,2-42,TOT,NFL,96,78,1278,2356,54.24,15315,77,73,3.10,72.4,227,6.50,1432,5.76,4.70,159.5,35,43,0
5,Steve Bartkowski,1975,1986,1-1,TOT,NFL,129,127,1932,3456,55.90,24124,156,144,4.17,75.4,356,6.98,2956,6.01,4.67,187.0,59,68,0
6,Charlie Batch,1998,2012,2-60,TOT,NFL,81,55,908,1604,56.61,11085,61,52,3.24,77.2,161,6.91,890,6.21,5.14,136.9,25,30,0
7,Bob Berry,1970,1975,11-14226-201AFL,TOT,NFL,54,37,493,850,58.00,6419,46,44,5.18,78.4,100,7.55,708,6.30,4.90,118.9,15,19,3
8,Steve Beuerlein,1988,2003,4-110,TOT,NFL,147,102,1894,3328,56.91,24046,147,112,3.37,80.3,332,7.23,2124,6.59,5.42,163.6,47,55,0
9,Jeff Blake,1992,2005,6-166,TOT,NFL,119,100,1827,3241,56.37,21711,134,99,3.05,78.0,248,6.70,1550,6.15,5.27,182.4,39,61,0
10,Drew Bledsoe,1993,2006,1-1,TOT,NFL,194,193,3839,6717,57.15,44611,251,206,3.07,77.1,467,6.64,3135,6.01,5.18,230.0,98,95,0
11,Kyle Boller,2003,2011,1-19,TOT,NFL,67,47,861,1519,56.68,8931,48,54,3.55,69.5,123,5.88,802,4.91,4.06,133.3,20,27,0
12,Steve Bono,1985,1999,6-142,TOT,NFL,88,42,934,1701,54.91,10439,62,42,2.47,75.3,76,6.14,565,5.75,5.19,118.6,28,14,0
13,Terry Bradshaw*,1970,1983,1-1,PIT,NFL,168,158,2025,3901,51.91,27989,212,210,5.38,70.9,307,7.17,2694,5.84,4.77,166.6,107,51,0
14,Bubby Brister,1986,2000,3-67,TOT,NFL,99,75,1207,2212,54.57,14445,81,78,3.53,72.3,193,6.53,1625,5.68,4.54,145.9,37,38,0
15,John Brodie,1970,1973,1-3,SFO,NFL,48,39,599,1069,56.03,7614,54,54,5.05,74.2,31,7.12,246,5.86,5.47,158.6,23,15,1
16,Aaron Brooks,2000,2006,4-131,TOT,NFL,93,90,1673,2963,56.46,20261,123,92,3.10,78.5,235,6.84,1454,6.27,5.36,217.9,38,52,0
17,Dave Brown,1992,2001,1-1,TOT,NFL,73,60,892,1634,54.59,10248,44,58,3.55,67.9,181,6.27,1005,5.21,4.14,140.4,26,34,0
18,Mark Brunell,1994,2011,5-118,TOT,NFL,193,151,2761,4640,59.50,32072,184,108,2.33,84.0,390,6.91,2395,6.66,5.67,166.2,78,73,0
19,Scott Brunner,1980,1985,6-145,TOT,NFL,73,30,512,1046,48.95,6457,29,54,5.16,56.3,71,6.17,518,4.40,3.66,88.5,12,18,0
20,Marc Bulger,2002,2009,6-168,RAM,NFL,96,95,1969,3171,62.09,22814,122,93,2.93,84.4,254,7.19,1863,6.64,5.61,237.6,41,54,0
21,David Carr,2002,2012,1-1,TOT,NFL,94,79,1353,2267,59.68,14452,65,71,3.13,74.9,267,6.37,1564,5.54,4.34,153.7,23,56,0
22,Quincy Carter,2001,2004,2-53,TOT,NFL,38,34,542,960,56.46,6337,32,37,3.85,71.7,80,6.60,441,5.53,4.68,166.8,18,16,0
23,Chris Chandler,1988,2004,3-76,TOT,NFL,180,152,2328,4005,58.13,28484,170,146,3.65,79.1,380,7.11,2590,6.32,5.18,158.2,67,85,0
24,Kerry Collins,1995,2011,1-5,TOT,NFL,198,180,3487,6261,55.69,40922,208,196,3.13,73.8,337,6.54,2230,5.79,5.16,206.7,81,99,0
25,Tim Couch,1999,2003,1-1,CLE,NFL,62,59,1025,1714,59.80,11131,64,67,3.91,75.1,166,6.49,1119,5.48,4.40,179.5,22,37,0
26,Daunte Culpepper,1999,2009,1-11,TOT,NFL,105,100,2016,3199,63.02,24153,149,106,3.31,87.8,298,7.55,1696,6.99,5.91,230.0,41,59,0
27,Randall Cunningham,1985,2001,2-37,TOT,NFL,161,135,2429,4289,56.63,29979,207,134,3.12,81.5,484,6.99,3537,6.55,5.14,186.2,82,52,1
28,Gary Danielson,1976,1988,,TOT,NFL,101,60,1105,1932,57.19,13764,81,78,4.04,76.6,183,7.12,1446,6.15,4.93,136.3,28,31,1
29,Len Dawson*,1970,1975,1-5,KAN,NFL,76,56,780,1344,58.04,9608,55,61,4.54,75.0,154,7.15,1334,5.92,4.43,126.4,28,24,4
30,Steve DeBerg,1978,1998,10-275,TOT,NFL,206,140,2874,5024,57.21,34241,196,204,4.06,74.2,296,6.82,2469,5.77,4.98,166.2,53,86,1
31,Jake Delhomme,1999,2011,,TOT,NFL,103,96,1741,2932,59.38,20975,126,101,3.44,81.3,168,7.15,1267,6.46,5.70,203.6,56,40,0
32,Lynn Dickey,1971,1985,3-56,TOT,NFL,152,111,1747,3125,55.90,23322,141,179,5.73,70.9,297,7.46,2423,5.79,4.58,153.4,45,63,3
33,Trent Dilfer,1994,2007,1-6,TOT,NFL,130,113,1759,3172,55.45,20518,113,129,4.07,70.2,263,6.47,1730,5.35,4.44,157.8,58,55,0
